"Bill of Material for "
"On 7/11/2016 at 10:52:51 PM"

"Comment","Pattern","Quantity","Components"

"100nF","CAPC2012X09N","11","C1, C2, C3, C4, C5, C7, C10, C12, C13, C14, C15","CAP CER 0.1UF 50V Y5V 0805"
"100R","RESC2012X07N_SAMSUNG","1","R7","RES SMD 100 OHM 1% 1/8W 0805"
"10k","RESC2012X07N_SAMSUNG","4","R10, R11, R12, R13","RES SMD 10K OHM 1% 1/8W 0805"
"10uF","CAPC2012X14N","1","C11","CAP CER 10UF 25V X5R 0805"
"180R","RESC2012X07N_SAMSUNG","2","R1, R5","RES SMD 180 OHM 1% 1/8W 0805"
"1K","RESC2012X07N_SAMSUNG","2","R3, R6","RES SMD 1K OHM 1% 1/8W 0805"
"1uF","CAPC2012X14N","1","C6","CAP CER 1UF 50V X5R 0805"
"22R","RESC2012X07N","2","R2, R4","RES SMD 22 OHM 1% 1/8W 0805"
"560R","RESC2012X07N_SAMSUNG","2","R8, R9","RES SMD 560 OHM 1% 1/8W 0805"
"67997-206HLF","3x2 Pin Header","1","ICSP1","CONN HEADER 6POS .100 STR 15AU"
"74HC4067 SOIC","SOIC127P1030X265-24N","1","U3","IC MUX/DEMUX 1X16 24SOIC"
"9C-16.000MEEJ-T","XTAL","1","XTAL1","CRYSTAL 16.0000MHZ 18PF SMD"
"ATmega32U4-AU","44ML_N","1","U1","8-bit AVR Microcontroller, 2.7-5.5V, 16MHz, 32KB Flash, 1KB EEPROM, 2.5KB SRAM, USB Controller, 44-pin TQFP, Industrial Grade (-40°C to 85°C), Ext Osc"
"B3FS-1010P","SWITCH","1","RST1","SWITCH TACTILE SPST-NO 0.05A 24V"
"Barrel Connector","Barrel Power Connector","1","J9","CONN POWER JACK 2.1X5.5MM HI CUR"
"CAP 18pF","CAPC2012X08N","2","C8, C9","CAP CER 18PF 50V NP0 0805"
"CG0603MLC","RESC1608X06N","2","Z1, Z2","VARISTOR 0603"
"CMT-1203-SMT-TR","BUZZER","1","BUZZ1","BUZZER PIEZO 5V 12MM SMD"
"CONN 10 POS","CONN 10 POS","1","J1","TERM BLOCK 10POS SIDE ENT 2.54MM"
"Diode 100V 150mA","DIOC3215X09N","1","D1","DIODE GEN PURP 100V 150MA 1206"
"FFC CONN 6POS","FFC CONNECTOR","7","J2, J3, J4, J5, J6, J7, J8","CONN FFC VERT 6POS 0.50MM SMD"
"LMV358MMX","MUA08A_N","1","U2","General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers, 8-pin Mini SOIC"
"MF-MSMF050","FUSE MF-MSMF050","1","F1","PTC RESETTABLE .50A 15V 1812"
"MH2029-300Y","INDC2012X11N","3","L1, L2, L3","EMI Filter Beads, Chips & Arrays Impedance 30ohms IDC 3.0"
"PB7","0603LED","1","PB7","LED RED DIFFUSED 0603 SMD"
"PWRLED-G","0603LED","1","PWR1","LED GREEN DIFFUSED 0603 SMD"
"USB","USB B RECEPTACLE","1","USB1","USB RCPT B-TYPE R/A FULL BACK"
